case_id,source_type,source_family_id,source_pack_slug,collection_method,ground_truth_method,modification_type,topology,pack_size_category,selected_mod_count,dependency_edge_count,required_edge_count,required_edge_density,maximum_required_depth,mean_candidate_versions_per_mod,expected_repairable,expected_initial_status
custom-focused-version-choice,custom_modpack,custom-focused-version-choice,,,inverse_injection,manual,,small,6,1,1,0.1667,1,1.167,True,incompatible
custom-huge-duplicate,custom_modpack,custom-huge-valid,,,inverse_injection,duplicate_mod_version,,huge,220,0,0,0.0000,0,1.005,True,incompatible
custom-huge-hard-conflict,custom_modpack,custom-huge-valid,,,inverse_injection,add_conflicting_mod,,huge,220,1,0,0.0000,0,1.000,True,incompatible
custom-huge-loader-mismatch,custom_modpack,custom-huge-valid,,,inverse_injection,replace_with_incompatible_version,,huge,220,0,0,0.0000,0,1.005,True,incompatible
custom-huge-minecraft-mismatch,custom_modpack,custom-huge-valid,,,inverse_injection,replace_with_incompatible_version,,huge,220,0,0,0.0000,0,1.005,True,incompatible
custom-huge-missing-dependency,custom_modpack,custom-huge-valid,,,inverse_injection,remove_required_dependency,,huge,220,1,1,0.0045,1,1.000,True,incompatible
custom-huge-multi-error,custom_modpack,custom-huge-valid,,,inverse_injection,multi_error,,huge,220,2,1,0.0045,1,1.000,True,incompatible
custom-huge-optional,custom_modpack,custom-huge-valid,,,inverse_injection,manual,,huge,220,1,0,0.0000,0,1.000,False,compatible_with_warnings
custom-huge-valid,custom_modpack,legacy-custom-huge,,,original_control,none,,huge,220,1,1,0.0045,1,1.000,False,compatible
custom-large-duplicate,custom_modpack,custom-large-valid,,,inverse_injection,duplicate_mod_version,,large,100,0,0,0.0000,0,1.010,True,incompatible
custom-large-hard-conflict,custom_modpack,custom-large-valid,,,inverse_injection,add_conflicting_mod,,large,100,1,0,0.0000,0,1.000,True,incompatible
custom-large-loader-mismatch,custom_modpack,custom-large-valid,,,inverse_injection,replace_with_incompatible_version,,large,100,0,0,0.0000,0,1.010,True,incompatible
custom-large-minecraft-mismatch,custom_modpack,custom-large-valid,,,inverse_injection,replace_with_incompatible_version,,large,100,0,0,0.0000,0,1.010,True,incompatible
custom-large-missing-dependency,custom_modpack,custom-large-valid,,,inverse_injection,remove_required_dependency,,large,100,1,1,0.0100,1,1.000,True,incompatible
custom-large-multi-error,custom_modpack,custom-large-valid,,,inverse_injection,multi_error,,large,100,2,1,0.0100,1,1.000,True,incompatible
custom-large-optional,custom_modpack,custom-large-valid,,,inverse_injection,manual,,large,100,1,0,0.0000,0,1.000,False,compatible_with_warnings
custom-large-valid,custom_modpack,legacy-custom-large,,,original_control,none,,large,100,1,1,0.0100,1,1.000,False,compatible
custom-medium-duplicate,custom_modpack,custom-medium-valid,,,inverse_injection,duplicate_mod_version,,medium,40,0,0,0.0000,0,1.026,True,incompatible
custom-medium-hard-conflict,custom_modpack,custom-medium-valid,,,inverse_injection,add_conflicting_mod,,medium,40,1,0,0.0000,0,1.000,True,incompatible
custom-medium-loader-mismatch,custom_modpack,custom-medium-valid,,,inverse_injection,replace_with_incompatible_version,,medium,40,0,0,0.0000,0,1.025,True,incompatible
custom-medium-minecraft-mismatch,custom_modpack,custom-medium-valid,,,inverse_injection,replace_with_incompatible_version,,medium,40,0,0,0.0000,0,1.025,True,incompatible
custom-medium-missing-dependency,custom_modpack,custom-medium-valid,,,inverse_injection,remove_required_dependency,,medium,40,1,1,0.0250,1,1.000,True,incompatible
custom-medium-multi-error,custom_modpack,custom-medium-valid,,,inverse_injection,multi_error,,medium,40,2,1,0.0250,1,1.000,True,incompatible
custom-medium-optional,custom_modpack,custom-medium-valid,,,inverse_injection,manual,,medium,40,1,0,0.0000,0,1.000,False,compatible_with_warnings
custom-medium-valid,custom_modpack,legacy-custom-medium,,,original_control,none,,medium,40,1,1,0.0250,1,1.000,False,compatible
custom-small-duplicate,custom_modpack,custom-small-valid,,,inverse_injection,duplicate_mod_version,,small,10,0,0,0.0000,0,1.111,True,incompatible
custom-small-hard-conflict,custom_modpack,custom-small-valid,,,inverse_injection,add_conflicting_mod,,small,10,1,0,0.0000,0,1.000,True,incompatible
custom-small-loader-mismatch,custom_modpack,custom-small-valid,,,inverse_injection,replace_with_incompatible_version,,small,10,0,0,0.0000,0,1.100,True,incompatible
custom-small-minecraft-mismatch,custom_modpack,custom-small-valid,,,inverse_injection,replace_with_incompatible_version,,small,10,0,0,0.0000,0,1.100,True,incompatible
custom-small-missing-dependency,custom_modpack,custom-small-valid,,,inverse_injection,remove_required_dependency,,small,10,1,1,0.1000,1,1.000,True,incompatible
custom-small-multi-error,custom_modpack,custom-small-valid,,,inverse_injection,multi_error,,small,10,2,1,0.1000,1,1.000,True,incompatible
custom-small-optional,custom_modpack,custom-small-valid,,,inverse_injection,manual,,small,10,1,0,0.0000,0,1.000,False,compatible_with_warnings
custom-small-valid,custom_modpack,legacy-custom-small,,,original_control,none,,small,10,1,1,0.1000,1,1.000,False,compatible
dense-huge-chain-control,custom_topology,dense-huge-chain,,,original_control,none,chain,huge,250,503,475,1.9000,16,1.360,False,compatible
dense-huge-chain-missing,custom_topology,dense-huge-chain,,,inverse_injection,remove_required_dependency,chain,huge,249,499,472,1.8956,16,1.361,True,incompatible
dense-huge-chain-version,custom_topology,dense-huge-chain,,,inverse_injection,replace_with_incompatible_version,chain,huge,250,503,475,1.9000,16,1.364,True,incompatible
dense-huge-clustered_modules-control,custom_topology,dense-huge-clustered_modules,,,original_control,none,clustered_modules,huge,250,503,475,1.9000,16,1.360,False,compatible
dense-huge-clustered_modules-missing,custom_topology,dense-huge-clustered_modules,,,inverse_injection,remove_required_dependency,clustered_modules,huge,249,500,472,1.8956,16,1.349,True,incompatible
dense-huge-clustered_modules-version,custom_topology,dense-huge-clustered_modules,,,inverse_injection,replace_with_incompatible_version,clustered_modules,huge,250,503,475,1.9000,16,1.364,True,incompatible
dense-huge-layered_dag-control,custom_topology,dense-huge-layered_dag,,,original_control,none,layered_dag,huge,250,503,475,1.9000,16,1.360,False,compatible
dense-huge-layered_dag-missing,custom_topology,dense-huge-layered_dag,,,inverse_injection,remove_required_dependency,layered_dag,huge,249,497,470,1.8876,16,1.361,True,incompatible
dense-huge-layered_dag-version,custom_topology,dense-huge-layered_dag,,,inverse_injection,replace_with_incompatible_version,layered_dag,huge,250,503,475,1.9000,16,1.364,True,incompatible
dense-huge-shared_library_fan_in-control,custom_topology,dense-huge-shared_library_fan_in,,,original_control,none,shared_library_fan_in,huge,250,503,475,1.9000,16,1.360,False,compatible
dense-huge-shared_library_fan_in-missing,custom_topology,dense-huge-shared_library_fan_in,,,inverse_injection,remove_required_dependency,shared_library_fan_in,huge,249,499,471,1.8916,16,1.361,True,incompatible
dense-huge-shared_library_fan_in-version,custom_topology,dense-huge-shared_library_fan_in,,,inverse_injection,replace_with_incompatible_version,shared_library_fan_in,huge,250,503,475,1.9000,16,1.364,True,incompatible
dense-large-chain-control,custom_topology,dense-large-chain,,,original_control,none,chain,large,150,293,275,1.8333,12,1.360,False,compatible
dense-large-chain-missing,custom_topology,dense-large-chain,,,inverse_injection,remove_required_dependency,chain,large,149,291,273,1.8322,12,1.362,True,incompatible
dense-large-chain-version,custom_topology,dense-large-chain,,,inverse_injection,replace_with_incompatible_version,chain,large,150,293,275,1.8333,12,1.367,True,incompatible
dense-large-clustered_modules-control,custom_topology,dense-large-clustered_modules,,,original_control,none,clustered_modules,large,150,293,275,1.8333,12,1.360,False,compatible
dense-large-clustered_modules-missing,custom_topology,dense-large-clustered_modules,,,inverse_injection,remove_required_dependency,clustered_modules,large,149,289,272,1.8255,12,1.362,True,incompatible
dense-large-clustered_modules-version,custom_topology,dense-large-clustered_modules,,,inverse_injection,replace_with_incompatible_version,clustered_modules,large,150,293,275,1.8333,12,1.367,True,incompatible
dense-large-layered_dag-control,custom_topology,dense-large-layered_dag,,,original_control,none,layered_dag,large,150,293,275,1.8333,12,1.360,False,compatible
dense-large-layered_dag-missing,custom_topology,dense-large-layered_dag,,,inverse_injection,remove_required_dependency,layered_dag,large,149,289,271,1.8188,12,1.362,True,incompatible
dense-large-layered_dag-version,custom_topology,dense-large-layered_dag,,,inverse_injection,replace_with_incompatible_version,layered_dag,large,150,293,275,1.8333,12,1.367,True,incompatible
dense-large-shared_library_fan_in-control,custom_topology,dense-large-shared_library_fan_in,,,original_control,none,shared_library_fan_in,large,150,293,275,1.8333,12,1.360,False,compatible
dense-large-shared_library_fan_in-missing,custom_topology,dense-large-shared_library_fan_in,,,inverse_injection,remove_required_dependency,shared_library_fan_in,large,149,291,273,1.8322,12,1.362,True,incompatible
dense-large-shared_library_fan_in-version,custom_topology,dense-large-shared_library_fan_in,,,inverse_injection,replace_with_incompatible_version,shared_library_fan_in,large,150,293,275,1.8333,12,1.367,True,incompatible
dense-medium-chain-control,custom_topology,dense-medium-chain,,,original_control,none,chain,medium,80,151,140,1.7500,8,1.375,False,compatible
dense-medium-chain-missing,custom_topology,dense-medium-chain,,,inverse_injection,remove_required_dependency,chain,medium,79,149,138,1.7468,8,1.342,True,incompatible
dense-medium-chain-version,custom_topology,dense-medium-chain,,,inverse_injection,replace_with_incompatible_version,chain,medium,80,151,140,1.7500,8,1.387,True,incompatible
dense-medium-clustered_modules-control,custom_topology,dense-medium-clustered_modules,,,original_control,none,clustered_modules,medium,80,151,140,1.7500,8,1.375,False,compatible
dense-medium-clustered_modules-missing,custom_topology,dense-medium-clustered_modules,,,inverse_injection,remove_required_dependency,clustered_modules,medium,79,148,137,1.7342,8,1.380,True,incompatible
dense-medium-clustered_modules-version,custom_topology,dense-medium-clustered_modules,,,inverse_injection,replace_with_incompatible_version,clustered_modules,medium,80,151,140,1.7500,8,1.387,True,incompatible
dense-medium-layered_dag-control,custom_topology,dense-medium-layered_dag,,,original_control,none,layered_dag,medium,80,151,140,1.7500,8,1.375,False,compatible
dense-medium-layered_dag-missing,custom_topology,dense-medium-layered_dag,,,inverse_injection,remove_required_dependency,layered_dag,medium,79,146,136,1.7215,8,1.342,True,incompatible
dense-medium-layered_dag-version,custom_topology,dense-medium-layered_dag,,,inverse_injection,replace_with_incompatible_version,layered_dag,medium,80,151,140,1.7500,8,1.387,True,incompatible
dense-medium-shared_library_fan_in-control,custom_topology,dense-medium-shared_library_fan_in,,,original_control,none,shared_library_fan_in,medium,80,151,140,1.7500,8,1.375,False,compatible
dense-medium-shared_library_fan_in-missing,custom_topology,dense-medium-shared_library_fan_in,,,inverse_injection,remove_required_dependency,shared_library_fan_in,medium,79,150,139,1.7595,8,1.380,True,incompatible
dense-medium-shared_library_fan_in-version,custom_topology,dense-medium-shared_library_fan_in,,,inverse_injection,replace_with_incompatible_version,shared_library_fan_in,medium,80,151,140,1.7500,8,1.387,True,incompatible
dense-small-chain-control,custom_topology,dense-small-chain,,,original_control,none,chain,small,30,51,45,1.5000,5,1.400,False,compatible
dense-small-chain-missing,custom_topology,dense-small-chain,,,inverse_injection,remove_required_dependency,chain,small,29,49,44,1.5172,5,1.414,True,incompatible
dense-small-chain-version,custom_topology,dense-small-chain,,,inverse_injection,replace_with_incompatible_version,chain,small,30,51,45,1.5000,5,1.433,True,incompatible
dense-small-clustered_modules-control,custom_topology,dense-small-clustered_modules,,,original_control,none,clustered_modules,small,30,51,45,1.5000,5,1.400,False,compatible
dense-small-clustered_modules-missing,custom_topology,dense-small-clustered_modules,,,inverse_injection,remove_required_dependency,clustered_modules,small,29,49,43,1.4828,5,1.414,True,incompatible
dense-small-clustered_modules-version,custom_topology,dense-small-clustered_modules,,,inverse_injection,replace_with_incompatible_version,clustered_modules,small,30,51,45,1.5000,5,1.433,True,incompatible
dense-small-layered_dag-control,custom_topology,dense-small-layered_dag,,,original_control,none,layered_dag,small,30,51,45,1.5000,5,1.400,False,compatible
dense-small-layered_dag-missing,custom_topology,dense-small-layered_dag,,,inverse_injection,remove_required_dependency,layered_dag,small,29,48,42,1.4483,5,1.414,True,incompatible
dense-small-layered_dag-version,custom_topology,dense-small-layered_dag,,,inverse_injection,replace_with_incompatible_version,layered_dag,small,30,51,45,1.5000,5,1.433,True,incompatible
dense-small-shared_library_fan_in-control,custom_topology,dense-small-shared_library_fan_in,,,original_control,none,shared_library_fan_in,small,30,51,45,1.5000,5,1.400,False,compatible
dense-small-shared_library_fan_in-missing,custom_topology,dense-small-shared_library_fan_in,,,inverse_injection,remove_required_dependency,shared_library_fan_in,small,29,50,44,1.5172,5,1.310,True,incompatible
dense-small-shared_library_fan_in-version,custom_topology,dense-small-shared_library_fan_in,,,inverse_injection,replace_with_incompatible_version,shared_library_fan_in,small,30,51,45,1.5000,5,1.433,True,incompatible
full-cobblemondelta-tvwcsaml,original_real,modrinth-full-cobblemondelta-tvwCSAMl,cobblemondelta,official_modrinth_api_mrpack_manifest_only,original_control,none,,medium,52,84,48,0.9231,3,1.000,False,compatible_with_warnings
full-cobblemondelta-tvwcsaml-missing-required,modified_real,modrinth-full-cobblemondelta-tvwCSAMl,cobblemondelta,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,medium,51,84,48,0.9412,3,1.000,True,incompatible
full-fabulously-optimized-czy3bvs9,original_real,modrinth-full-fabulously-optimized-cZY3Bvs9,fabulously-optimized,official_modrinth_api_mrpack_manifest_only,original_control,none,,medium,45,74,29,0.6444,2,1.000,False,compatible_with_warnings
full-fabulously-optimized-czy3bvs9-missing-required,modified_real,modrinth-full-fabulously-optimized-cZY3Bvs9,fabulously-optimized,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,medium,44,74,29,0.6591,2,1.000,True,incompatible
full-hoplite-for-lunar-client-ensf9uf2,original_real,modrinth-full-hoplite-for-lunar-client-Ensf9uf2,hoplite-for-lunar-client,official_modrinth_api_mrpack_manifest_only,original_control,none,,small,13,17,6,0.4615,1,1.000,False,compatible_with_warnings
full-hoplite-for-lunar-client-ensf9uf2-missing-required,modified_real,modrinth-full-hoplite-for-lunar-client-Ensf9uf2,hoplite-for-lunar-client,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,small,12,17,6,0.5000,1,1.000,True,incompatible
full-realisticcraft-c3ejla1u,original_real,modrinth-full-realisticcraft-c3EJla1u,realisticcraft,official_modrinth_api_mrpack_manifest_only,original_control,none,,medium,46,74,38,0.8261,2,1.000,False,compatible_with_warnings
full-realisticcraft-c3ejla1u-missing-required,modified_real,modrinth-full-realisticcraft-c3EJla1u,realisticcraft,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,medium,45,74,38,0.8444,2,1.000,True,incompatible
full-remarkably-mzetltcd,original_real,modrinth-full-remarkably-mZeTltCD,remarkably,official_modrinth_api_mrpack_manifest_only,original_control,none,,small,26,29,17,0.6538,2,1.000,False,compatible_with_warnings
full-remarkably-mzetltcd-missing-required,modified_real,modrinth-full-remarkably-mZeTltCD,remarkably,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,small,25,29,17,0.6800,2,1.000,True,incompatible
full-rso-xtjt8bfy,original_real,modrinth-full-rso-XtjT8Bfy,rso,official_modrinth_api_mrpack_manifest_only,original_control,none,,medium,69,124,62,0.8986,2,1.000,False,compatible_with_warnings
full-rso-xtjt8bfy-missing-required,modified_real,modrinth-full-rso-XtjT8Bfy,rso,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,medium,68,124,62,0.9118,2,1.000,True,incompatible
full-skyblocker-modpack-darpjoog,original_real,modrinth-full-skyblocker-modpack-dArPJOoG,skyblocker-modpack,official_modrinth_api_mrpack_manifest_only,original_control,none,,small,25,39,24,0.9600,2,1.000,False,compatible_with_warnings
full-skyblocker-modpack-darpjoog-missing-required,modified_real,modrinth-full-skyblocker-modpack-dArPJOoG,skyblocker-modpack,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,small,24,39,24,1.0000,2,1.000,True,incompatible
full-slimes-adventure-wqekffh0,original_real,modrinth-full-slimes-adventure-wQeKfFh0,slimes-adventure,official_modrinth_api_mrpack_manifest_only,original_control,none,,large,95,184,129,1.3579,4,1.000,False,compatible_with_warnings
full-slimes-adventure-wqekffh0-missing-required,modified_real,modrinth-full-slimes-adventure-wQeKfFh0,slimes-adventure,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,large,94,184,129,1.3723,4,1.000,True,incompatible
full-svc-for-lunar-client-phsvodci,original_real,modrinth-full-svc-for-lunar-client-pHsvoDcI,svc-for-lunar-client,official_modrinth_api_mrpack_manifest_only,original_control,none,,small,6,10,3,0.5000,1,1.000,False,compatible_with_warnings
full-svc-for-lunar-client-phsvodci-missing-required,modified_real,modrinth-full-svc-for-lunar-client-pHsvoDcI,svc-for-lunar-client,official_modrinth_api_mrpack_manifest_only,inverse_injection,remove_required_dependency,,small,5,10,3,0.6000,1,1.000,True,incompatible
real-additive-loader-mismatch,modified_real,real-additive-valid,,,inverse_injection,change_loader,,small,3,1,1,0.3333,1,1.000,False,incompatible
real-additive-missing-dependency,modified_real,real-additive-valid,,,inverse_injection,remove_required_dependency,,small,2,1,1,0.5000,1,1.000,True,incompatible
real-additive-valid,original_real,real-additive-valid,,,original_control,none,,small,3,1,1,0.3333,1,1.000,False,compatible
real-fo-missing-fabric-api,modified_real,real-fo-valid,,,inverse_injection,remove_required_dependency,,small,3,1,1,0.3333,1,1.000,True,incompatible
real-fo-valid,original_real,real-fo-valid,,,original_control,none,,small,4,1,1,0.2500,1,1.000,False,compatible
real-fo-wrong-minecraft,modified_real,real-fo-valid,,,inverse_injection,change_minecraft_version,,small,4,1,1,0.2500,1,1.000,False,incompatible
search-candidate-01,search_stress,search-candidate-01,,,reference_enumeration,candidate_choice,candidate_explosion,small,2,0,0,0.0000,0,3.500,True,incompatible
search-candidate-02,search_stress,search-candidate-02,,,reference_enumeration,candidate_choice,candidate_explosion,small,2,0,0,0.0000,0,3.500,True,incompatible
search-candidate-03,search_stress,search-candidate-03,,,reference_enumeration,candidate_choice,candidate_explosion,small,2,0,0,0.0000,0,3.500,True,incompatible
search-candidate-04,search_stress,search-candidate-04,,,reference_enumeration,candidate_choice,candidate_explosion,small,2,0,0,0.0000,0,3.500,True,incompatible
search-profile-01,search_stress,search-profile-01,,,reference_enumeration,candidate_choice,profile_sensitive,small,4,1,0,0.0000,0,1.750,True,incompatible
search-profile-02,search_stress,search-profile-02,,,reference_enumeration,candidate_choice,profile_sensitive,small,4,1,0,0.0000,0,1.750,True,incompatible
search-profile-03,search_stress,search-profile-03,,,reference_enumeration,candidate_choice,profile_sensitive,small,4,1,0,0.0000,0,1.750,True,incompatible
search-profile-04,search_stress,search-profile-04,,,reference_enumeration,candidate_choice,profile_sensitive,small,4,1,0,0.0000,0,1.750,True,incompatible
search-tie-01,search_stress,search-tie-01,,,reference_enumeration,tie_breaking,tie_breaking,small,2,1,0,0.0000,0,2.000,True,incompatible
search-tie-02,search_stress,search-tie-02,,,reference_enumeration,tie_breaking,tie_breaking,small,2,1,0,0.0000,0,2.000,True,incompatible
search-tie-03,search_stress,search-tie-03,,,reference_enumeration,tie_breaking,tie_breaking,small,2,1,0,0.0000,0,2.000,True,incompatible
search-tie-04,search_stress,search-tie-04,,,reference_enumeration,tie_breaking,tie_breaking,small,2,1,0,0.0000,0,2.000,True,incompatible
search-unsat-01,search_stress,search-unsat-01,,,reference_enumeration,unsatisfiable,no_solution,small,3,2,2,0.6667,1,1.000,False,incompatible
search-unsat-02,search_stress,search-unsat-02,,,reference_enumeration,unsatisfiable,no_solution,small,3,2,2,0.6667,1,1.000,False,incompatible
search-unsat-03,search_stress,search-unsat-03,,,reference_enumeration,unsatisfiable,no_solution,small,3,2,2,0.6667,1,1.000,False,incompatible
search-unsat-04,search_stress,search-unsat-04,,,reference_enumeration,unsatisfiable,no_solution,small,3,2,2,0.6667,1,1.000,False,incompatible
synthetic-chain-missing,synthetic,synthetic-chain-missing,,,original_control,none,,small,2,2,2,1.0000,2,1.000,True,incompatible
synthetic-chain-valid,synthetic,synthetic-chain-valid,,,original_control,none,,small,3,2,2,0.6667,2,1.000,False,compatible
synthetic-combined-missing-conflict,synthetic,synthetic-combined-missing-conflict,,,original_control,none,,small,3,3,2,0.6667,2,1.000,True,incompatible
synthetic-duplicate-selection,synthetic,synthetic-duplicate-selection,,,original_control,none,,small,2,0,0,0.0000,0,2.000,True,incompatible
synthetic-embedded-info,synthetic,synthetic-embedded-info,,,original_control,none,,small,1,1,0,0.0000,0,1.000,False,compatible
synthetic-hard-conflict,synthetic,synthetic-hard-conflict,,,original_control,none,,small,3,2,1,0.3333,1,1.000,True,incompatible
synthetic-loader-mismatch,synthetic,synthetic-loader-mismatch,,,original_control,none,,small,1,0,0,0.0000,0,1.000,False,incompatible
synthetic-minecraft-mismatch,synthetic,synthetic-minecraft-mismatch,,,original_control,none,,small,1,0,0,0.0000,0,1.000,False,incompatible
synthetic-missing-dependency,synthetic,synthetic-missing-dependency,,,original_control,none,,small,1,1,1,1.0000,1,1.000,True,incompatible
synthetic-multi-repair,synthetic,synthetic-multi-repair,,,original_control,none,,small,2,1,1,0.5000,1,1.500,True,incompatible
synthetic-multiple-missing,synthetic,synthetic-multiple-missing,,,original_control,none,,small,1,2,2,2.0000,1,1.000,True,incompatible
synthetic-no-solution,synthetic,synthetic-no-solution,,,original_control,none,,small,1,1,1,1.0000,1,1.000,False,incompatible
synthetic-optional-and-embedded,synthetic,synthetic-optional-and-embedded,,,original_control,none,,small,1,2,0,0.0000,0,1.000,False,compatible_with_warnings
synthetic-optional-warning,synthetic,synthetic-optional-warning,,,original_control,none,,small,2,2,1,0.5000,1,1.000,False,compatible_with_warnings
synthetic-search-limit,synthetic,synthetic-search-limit,,,original_control,none,,small,2,1,1,0.5000,1,1.500,True,incompatible
synthetic-tie-breaking,synthetic,synthetic-tie-breaking,,,original_control,none,,small,2,1,0,0.0000,0,2.000,True,incompatible
synthetic-unresolved-selected-mod,synthetic,synthetic-unresolved-selected-mod,,,original_control,none,,small,1,0,0,0.0000,0,0.000,False,incompatible
synthetic-valid,synthetic,synthetic-valid,,,original_control,none,,small,2,1,1,0.5000,1,1.000,False,compatible
synthetic-version-choice,synthetic,synthetic-version-choice,,,original_control,none,,small,1,0,0,0.0000,0,3.000,True,incompatible
